run_id,run_name,hidden_dim,learning_rate,min_lr_ratio,adam_lr,num_layers,loss,optimizer_name,warmup
exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr1.00e-2-b4f8ee,exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr1.00e-2-b4f8ee,128.0,0.01,0.0,0.01,4.0,4.531156539916992,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr2.50e-3-b70333,exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr2.50e-3-b70333,1024.0,0.0025,0.0,0.0025,4.0,3.667062520980835,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr1.00e-2-062f81,exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr1.00e-2-062f81,1024.0,0.01,0.0,0.01,4.0,3.636646032333374,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr1.41e-2-f752c6,exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr1.41e-2-f752c6,128.0,0.014142135623730952,0.0,0.014142135623730952,4.0,4.53310489654541,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr5.00e-3-8d2666,exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr5.00e-3-8d2666,1024.0,0.005,0.0,0.005,4.0,3.634533405303955,muonh,0.0
exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr3.54e-3-965ac3,exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr3.54e-3-965ac3,,,,,,,adamh,
exp1570_hidden1024-mup-adamh-anneal-to-0-lr1.41e-2-792e1d,exp1570_hidden1024-mup-adamh-anneal-to-0-lr1.41e-2-792e1d,1024.0,0.014142135623730952,0.0,0.014142135623730952,4.0,3.667874813079834,adamh,0.1
exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr1.41e-2-33b515,exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr1.41e-2-33b515,1024.0,0.014142135623730952,0.0,0.014142135623730952,4.0,3.6490395069122314,muonh,0.0
exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr1.00e-2-ee6bf3,exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr1.00e-2-ee6bf3,128.0,0.01,0.1,0.01,32.0,4.20844841003418,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr1.41e-2-e8699e,exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr1.41e-2-e8699e,128.0,0.014142135623730952,0.1,0.014142135623730952,32.0,4.229623317718506,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr7.07e-3-8b7ee0,exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr7.07e-3-8b7ee0,128.0,0.007071067811865476,0.1,0.007071067811865476,32.0,4.200962543487549,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr5.00e-3-d2888b,exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr5.00e-3-d2888b,128.0,0.005,0.1,0.005,32.0,4.200512409210205,adamh,0.1
exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr3.54e-3-0766a8,exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr3.54e-3-0766a8,128.0,0.003535533905932738,0.0,0.003535533905932738,4.0,4.548120021820068,muonh,0.0
exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr3.54e-3-ccf38d,exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr3.54e-3-ccf38d,128.0,0.003535533905932738,0.0,0.003535533905932738,32.0,4.186319828033447,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr1.41e-2-8833be,exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr1.41e-2-8833be,128.0,0.014142135623730952,0.0,0.014142135623730952,32.0,4.159947395324707,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr2.00e-2-5871c5,exp1570_hidden128-nl32-mup-adamh-fixed-lr2-lr2.00e-2-5871c5,128.0,0.02,0.1,0.02,32.0,4.261123180389404,adamh,0.1
exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr1.00e-2-14b76d,exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr1.00e-2-14b76d,256.0,0.01,0.0,0.01,4.0,4.176150321960449,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr7.07e-3-24d222,exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr7.07e-3-24d222,128.0,0.007071067811865476,0.0,0.007071067811865476,32.0,4.159920692443848,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr5.00e-3-b233c4,exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr5.00e-3-b233c4,128.0,0.005,0.0,0.005,32.0,4.170832633972168,adamh,0.1
exp1570_hidden512-mup-muonh-decay-to-0-lr7.07e-3-5a0c05,exp1570_hidden512-mup-muonh-decay-to-0-lr7.07e-3-5a0c05,512.0,0.007071067811865476,0.0,0.007071067811865476,4.0,3.8710086345672607,muonh,0.0
exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr1.00e-2-9560a5,exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr1.00e-2-9560a5,512.0,0.01,0.0,0.01,4.0,3.882108688354492,adamh,0.1
exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr3.54e-3-e3aef0,exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr3.54e-3-e3aef0,512.0,0.003535533905932738,0.0,0.003535533905932738,4.0,3.908629894256592,adamh,0.1
exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr1.00e-2-52833d,exp1570_hidden128-nl32-mup-adamh-decay-to-0-lr1.00e-2-52833d,128.0,0.01,0.0,0.01,32.0,4.153142929077148,adamh,0.1
exp1570_hidden512-mup-muonh-decay-to-0-lr1.00e-2-7ea20d,exp1570_hidden512-mup-muonh-decay-to-0-lr1.00e-2-7ea20d,512.0,0.01,0.0,0.01,4.0,3.868600845336914,muonh,0.0
exp1570_hidden256-mup-muonh-decay-to-0-lr1.00e-2-b346ff,exp1570_hidden256-mup-muonh-decay-to-0-lr1.00e-2-b346ff,256.0,0.01,0.0,0.01,4.0,4.168629169464111,muonh,0.0
exp1570_hidden128-nl16-mup-adamh-decay-to-0-lr7.07e-3-23d0cc,exp1570_hidden128-nl16-mup-adamh-decay-to-0-lr7.07e-3-23d0cc,128.0,0.007071067811865476,0.0,0.007071067811865476,16.0,,adamh,0.1
exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr1.41e-2-67d6ee,exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr1.41e-2-67d6ee,512.0,0.014142135623730952,0.0,0.014142135623730952,4.0,3.8864526748657227,adamh,0.1
exp1570_hidden128-nl8-mup-adamh-decay-to-0-lr3.54e-3-aa9269,exp1570_hidden128-nl8-mup-adamh-decay-to-0-lr3.54e-3-aa9269,128.0,0.003535533905932738,0.0,0.003535533905932738,8.0,4.646487712860107,adamh,0.1
exp1570_hidden128-nl8-mup-adamh-decay-to-0-lr5.00e-3-c99179,exp1570_hidden128-nl8-mup-adamh-decay-to-0-lr5.00e-3-c99179,128.0,0.005,0.0,0.005,8.0,4.723781108856201,adamh,0.1
exp1570_hidden128-nl16-mup-adamh-decay-to-0-lr3.54e-3-785487,exp1570_hidden128-nl16-mup-adamh-decay-to-0-lr3.54e-3-785487,128.0,0.003535533905932738,0.0,0.003535533905932738,16.0,5.211651802062988,adamh,0.1
exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr7.07e-3-90a566,exp1570_hidden512-nl4-mup-adamh-decay-to-0-lr7.07e-3-90a566,512.0,0.007071067811865476,0.0,0.007071067811865476,4.0,3.886431932449341,adamh,0.1
exp1570_hidden256-mup-muonh-decay-to-0-lr5.00e-3-023bdb,exp1570_hidden256-mup-muonh-decay-to-0-lr5.00e-3-023bdb,256.0,0.005,0.0,0.005,4.0,4.176912307739258,muonh,0.0
exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr1.41e-2-013ac4,exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr1.41e-2-013ac4,256.0,0.014142135623730952,0.0,0.014142135623730952,4.0,4.185683250427246,adamh,0.1
exp1570_hidden128-nl8-mup-adamh-decay-to-0-lr7.07e-3-fd8685,exp1570_hidden128-nl8-mup-adamh-decay-to-0-lr7.07e-3-fd8685,128.0,0.007071067811865476,0.0,0.007071067811865476,8.0,5.254645347595215,adamh,0.1
exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr5.00e-3-5a2fc3,exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr5.00e-3-5a2fc3,256.0,0.005,0.0,0.005,4.0,4.199703216552734,adamh,0.1
exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr7.07e-3-7fb979,exp1570_hidden256-nl4-mup-adamh-decay-to-0-lr7.07e-3-7fb979,256.0,0.007071067811865476,0.0,0.007071067811865476,4.0,4.190206050872803,adamh,0.1
exp1570_hidden256-mup-muonh-decay-to-0-lr2.50e-3-82803a,exp1570_hidden256-mup-muonh-decay-to-0-lr2.50e-3-82803a,256.0,0.0025,0.0,0.0025,4.0,4.207094192504883,muonh,0.0
exp1570_hidden256-mup-muonh-decay-to-0-lr7.07e-3-fb16a1,exp1570_hidden256-mup-muonh-decay-to-0-lr7.07e-3-fb16a1,256.0,0.007071067811865476,0.0,0.007071067811865476,4.0,4.167989253997803,muonh,0.0
