run_id,run_name,learning_rate,loss,optimizer_name,num_train_steps,num_tokens
muon-lr7.07e-3-12B-6f2ca7,muon-lr7.07e-3-12B-6f2ca7,0.007071067811865476,3.2857718467712402,muon,22888.18359375,12000000000.0
muonh-lr5.00e-3-1B-921c1f,muonh-lr5.00e-3-1B-921c1f,0.005,3.8769173622131348,muonh,1907.3486328125,1000000000.0
muon-lr1.00e-2-1B-58fa0e,muon-lr1.00e-2-1B-58fa0e,0.01,3.7047629356384277,muon,1907.3486328125,1000000000.0
muonh-lr7.07e-3-8B-5aa60a,muonh-lr7.07e-3-8B-5aa60a,0.007071067811865476,3.324470043182373,muonh,15258.7890625,8000000000.0
muonh-lr7.07e-3-12B-34c09c,muonh-lr7.07e-3-12B-34c09c,0.007071067811865476,3.2801952362060547,muonh,22888.18359375,12000000000.0
muon-lr1.00e-2-12B-dfe6ca,muon-lr1.00e-2-12B-dfe6ca,0.01,3.283956289291382,muon,22888.18359375,12000000000.0
muon-lr1.00e-2-6B-ffc6ed,muon-lr1.00e-2-6B-ffc6ed,0.01,3.3542613983154297,muon,11444.091796875,6000000000.0
muonh-lr2.00e-2-12B-d55ef2,muonh-lr2.00e-2-12B-d55ef2,0.02,3.3203155994415283,muonh,22888.18359375,12000000000.0
muon-lr5.00e-3-1B-f3c258,muon-lr5.00e-3-1B-f3c258,0.005,3.806736946105957,muon,1907.3486328125,1000000000.0
muon-lr7.07e-3-4B-dcae56,muon-lr7.07e-3-4B-dcae56,0.007071067811865476,3.418126106262207,muon,7629.39453125,4000000000.0
muonh-lr7.07e-3-6B-a773af,muonh-lr7.07e-3-6B-a773af,0.007071067811865476,3.363553047180176,muonh,11444.091796875,6000000000.0
muon-lr5.00e-3-12B-43dd1f,muon-lr5.00e-3-12B-43dd1f,0.005,3.2916109561920166,muon,22888.18359375,12000000000.0
muonh-lr5.00e-3-8B-d7c998,muonh-lr5.00e-3-8B-d7c998,0.005,3.352428913116455,muonh,15258.7890625,8000000000.0
muonh-lr1.41e-2-6B-eff9f8,muonh-lr1.41e-2-6B-eff9f8,0.014142135623730952,3.342008352279663,muonh,11444.091796875,6000000000.0
muon-lr7.07e-3-8B-7877ea,muon-lr7.07e-3-8B-7877ea,0.007071067811865476,3.325653553009033,muon,15258.7890625,8000000000.0
muon-lr5.00e-3-8B-e13b4d,muon-lr5.00e-3-8B-e13b4d,0.005,3.336127996444702,muon,15258.7890625,8000000000.0
muonh-lr2.00e-2-4B-67beda,muonh-lr2.00e-2-4B-67beda,0.02,3.416184663772583,muonh,7629.39453125,4000000000.0
muon-lr1.41e-2-4B-97d09e,muon-lr1.41e-2-4B-97d09e,0.014142135623730952,3.4059321880340576,muon,7629.39453125,4000000000.0
muonh-lr7.07e-3-1B-fb32f2,muonh-lr7.07e-3-1B-fb32f2,0.007071067811865476,3.774254083633423,muonh,1907.3486328125,1000000000.0
muonh-lr1.41e-2-1B-ebf6f9,muonh-lr1.41e-2-1B-ebf6f9,0.014142135623730952,3.660642385482788,muonh,1907.3486328125,1000000000.0
muonh-lr5.00e-3-6B-58dbf7,muonh-lr5.00e-3-6B-58dbf7,0.005,3.3958492279052734,muonh,11444.091796875,6000000000.0
muonh-lr7.07e-3-2B-9bed07,muonh-lr7.07e-3-2B-9bed07,0.007071067811865476,3.567747116088867,muonh,3814.697265625,2000000000.0
muonh-lr2.00e-2-8B-d54c57,muonh-lr2.00e-2-8B-d54c57,0.02,3.347271680831909,muonh,15258.7890625,8000000000.0
muonh-lr1.41e-2-8B-a12642,muonh-lr1.41e-2-8B-a12642,0.014142135623730952,3.3113765716552734,muonh,15258.7890625,8000000000.0
muon-lr1.41e-2-2B-e3e69e,muon-lr1.41e-2-2B-e3e69e,0.014142135623730952,3.51967191696167,muon,3814.697265625,2000000000.0
